day,hour,cost
8/2/2022,11,153.39
8/2/2022,12,149.25
8/2/2022,13,146.01
8/2/2022,14,146.01
8/2/2022,15,152.06
8/2/2022,16,158.59
8/2/2022,17,169.96
8/2/2022,18,201.71
8/2/2022,19,219.54
8/2/2022,20,212.97
8/2/2022,21,197.17
8/2/2022,22,139.82
8/2/2022,23,132.71
8/2/2022,24,123.39
9/2/2022,1,115.08
9/2/2022,2,114.87
9/2/2022,3,118.79
9/2/2022,4,109.58
9/2/2022,5,116.95
9/2/2022,6,119.34
9/2/2022,7,154.4
9/2/2022,8,195.99
9/2/2022,9,202.21
9/2/2022,10,195.97
9/2/2022,11,190
9/2/2022,12,190.04
9/2/2022,13,187.91
9/2/2022,14,167.83
9/2/2022,15,187.73
9/2/2022,16,190.1
9/2/2022,17,190.1
9/2/2022,18,219
9/2/2022,19,249.12
9/2/2022,20,257.28
9/2/2022,21,231.79
9/2/2022,22,215.81
9/2/2022,23,211.79
9/2/2022,24,196.7
10/2/2022,1,200.46
10/2/2022,2,192.61
10/2/2022,3,185.1
10/2/2022,4,172.23
10/2/2022,5,172.91
10/2/2022,6,174.88
10/2/2022,7,203.67
10/2/2022,8,233.46
10/2/2022,9,240.32
10/2/2022,10,225.56
10/2/2022,11,199.99
10/2/2022,12,193.67
10/2/2022,13,169.97
10/2/2022,14,167.9
10/2/2022,15,176.35
10/2/2022,16,184.55
10/2/2022,17,195.98
10/2/2022,18,215.77
10/2/2022,19,229.58
10/2/2022,20,212.49
10/2/2022,21,187.28
10/2/2022,22,179.37
10/2/2022,23,176.91
10/2/2022,24,136.66
11/2/2022,1,180.01
11/2/2022,2,176.73
11/2/2022,3,168.87
11/2/2022,4,164.09
11/2/2022,5,165
11/2/2022,6,171.3
11/2/2022,7,196.95
11/2/2022,8,221.46
11/2/2022,9,221.78
11/2/2022,10,179.53
11/2/2022,11,151.36
11/2/2022,12,145.49
11/2/2022,13,162.28
11/2/2022,14,159.26
11/2/2022,15,140.61
11/2/2022,16,168.15
11/2/2022,17,191.92
11/2/2022,18,220.57
11/2/2022,19,243.35
11/2/2022,20,241.18
11/2/2022,21,221.31
11/2/2022,22,213.13
11/2/2022,23,205.48
